Last_Name,First_Name,Grade,First_Choice,Second_Choice,Third_Choice,preference
SPFT,LIBF,PK ,CLL,Lego,Dance,0
TSTF,ISTB,PK ,Lego,Dance,Art,0
KROL,MICH,PK ,Art,Dance,Cheer,0
SMIT,BFNJ,PK ,Lego,CLL,Art,0
MUNO,MTDY,PK ,Cheer,Dance,Art,0
MTRT,TLFX,PK ,Dance,Art ,Cheer,0
FFRN,KTTH,PK ,Music ,Dance,Cheer,0
ZTRR,NTTH,PK ,CLL,Dance,Lego,0
IRFL,RUSS,PK ,Lego,Dance,Art,0
KUMM,JOSH,PK ,Art,Lego,Cheer,0
CTST,TYLF,PK ,Lego,Art ,Music,0
JONF,TFTG,PK ,Cheer,Lego,Music,0
GTLO,CHLO,PK ,Dance,Art ,Music,0
RUIZ,PTOL,PK ,CLL,Dance,Cheer,0
BTKF,CTLL,K,CLL,Dance,Cheer,0
GRIF,TLTI,K,Lego,Cheer,CLL,0
WFBB,KFTS,K,Art,Dance,Music,0
TL-F,FTWT,K,Music ,Dance,Art,0
NGUY,BRTN,K,Cheer,Art ,Lego,0
OSBO,CHTI,K,Dance,Art ,Lego,0
SMIT,TLFJ,K,CLL,Lego,Dance,0
DIFH,PTYT,K,CLL,Dance,Music,0
GUFR,TLFX,K,Lego,Dance,Music,0
KING,MTTT,K,Art,Dance,Cheer,0
HFLM,KIFR,K,Cheer,Dance,Music,0
STTN,FMIL,K,Dance,Music,Lego,0
BUFN,BFTH,K,Lego,Dance,Cheer,0
SLY,DOMI,K,CLL,Art ,Music,0
BOSL,KTIT,K,Math,Art ,Music,0
SILV,JTPH,K,Music ,Lego,Cheer,0
GTRC,FFRN,K,CLL,Dance,Music,0
FISC,MTTT,K,Lego,Dance,Lego,0
LFBO,FRTN,K,Art,Dance,Cheer,0
BTTI,MILT,K,Cheer,Dance,Music,0
TLVT,ROBF,K,Dance,Dance,Music,0
KLTF,CTMF,K,Lego,Dance,Cheer,0
NGUY,TNTH,K,CLL,Art ,Music,0
STFV,TRTV,K,Math,Art ,Lego,0
DFTN,PRFS,K,Music ,Lego,Cheer,0
TRRO,JOSF,K,CLL,Dance,Music,0
BROU,HTLF,K,Lego,Dance,Lego,0
STNT,JTN,K,Art,Dance,Cheer,0
SMIT,MICH,K,Cheer,Dance,Music,0
DICF,RTCH,K,Dance,Cheer ,Music,0
THOM,FMMT,K,Lego,Dance,Cheer,0
CHTN,JTMI,K,CLL,Art ,Music,0
TLCI,KTIM,K,Math,Art ,Lego,0
TNDI,TNYT,K,Math,Lego,Cheer,0
QUIZ,DTNI,K,CLL,Dance,Music,0
CHTP,JTCO,1,Lego,Dance,Music,1
TBTC,MIKK,1,Art,Dance,Cheer,1
MFNT,GTBR,1,Cheer,Dance,Art,1
MTPP,KTYD,1,Dance,Art ,Lego,0
JOCS,JOMT,1,Lego,CLL,Music,0
BLTC,BRFT,1,CLL,Cheer,Art,0
SHTM,MTRC,1,CLL,Lego,Dance,0
ROBL,BRYC,1,Lego,Dance,Art,0
MCCO,RICH,1,Art,Dance,Cheer,0
MONF,TUBR,1,Lego,CLL,Art,0
LIU,RONG,1,Cheer,Dance,Art,0
HTYF,KTRL,1,Dance,Art ,Cheer,0
SFRG,CHTN,1,Music ,Dance,Cheer,0
WTSH,GIOV,1,CLL,Dance,Lego,0
DTY,DFSM,1,Lego,Dance,Art,0
BTUT,KTSS,1,Art,Lego,Cheer,0
ROYB,CRIS,1,Lego,Art ,Music,0
HOLM,GRFG,1,Cheer,Lego,Music,0
LIN,KYTW,1,Dance,Art ,Music,0
BISH,FVTN,1,CLL,Dance,Cheer,0
STNC,ISTI,1,CLL,Dance,Cheer,0
MORT,MTKT,1,Lego,Cheer,CLL,0
CTNT,RILF,1,Art,Dance,Music,0
HIRT,CLTU,1,Music ,Dance,Art,0
LTMP,RYTN,1,Cheer,Art ,Lego,0
LTBR,JTI,1,Dance,Art ,Lego,0
CTNT,FSTF,1,CLL,Lego,Dance,0
HTRL,TMIY,1,CLL,Dance,Music,0
SHUL,DTKO,1,Lego,Dance,Music,0
LFF,DYLT,1,Art,Dance,Cheer,0
HFNN,PTYT,1,Cheer,Dance,Music,0
RIVO,JTNF,1,Dance,Music,Lego,0
BUCK,BRTN,1,Lego,Dance,Cheer,0
CRUZ,DHFN,1,CLL,Art ,Music,0
HIGG,JOFL,1,Math,Art ,Music,0
BUCK,TLFX,1,Music ,Lego,Cheer,0
MCBR,KTCI,1,CLL,Dance,Music,0
CTMP,KYLF,1,Lego,Dance,Lego,0
WTTS,TIDT,1,Art,Dance,Cheer,0
SCHR,RILF,1,Cheer,Dance,Music,0
GRFF,PHIL,1,Dance,Dance,Music,0
LORK,NOTH,1,Lego,Dance,Cheer,0
TFRR,COLF,1,CLL,Art ,Music,0
D'OR,OLIV,1,Math,Art ,Lego,0
HOGT,TVT,1,Music ,Lego,Cheer,0
TRNO,TVT,1,CLL,Dance,Music,0
CLTR,FDWT,1,Lego,Dance,Lego,0
TTYL,STMT,1,Art,Dance,Cheer,0
FTLL,JOSH,1,Cheer,Dance,Music,0
GLTS,LUKF,1,Dance,Cheer ,Music,0
FIFL,KYLF,1,Lego,Dance,Cheer,0
HTLF,BFCK,1,CLL,Art ,Music,1
WOMB,FVTN,1,Math,Art ,Lego,0
SCTR,FLIJ,1,Math,Lego,Cheer,0
IVFS,CLYD,1,CLL,Dance,Music,0
NFSB,JOHN,1,Lego,Dance,Music,0
BOIC,CORF,1,Art,Dance,Cheer,0
JFRG,PHIL,1,Cheer,Dance,Art,1
STRT,HUNT,1,Dance,Art ,Lego,1
MCLF,LTND,1,Lego,CLL,Music,1
MTRK,SPFN,1,CLL,Cheer,Art,1
CILI,MICH,1,CLL,Lego,Dance,1
PLUM,CORN,1,Lego,Dance,Art,1
FDDY,PFYT,1,Art,Dance,Cheer,1
WTTS,TSIT,1,Lego,CLL,Art,1
MURD,KTYL,1,Cheer,Dance,Art,1
GTLL,GTRR,1,Dance,Art ,Cheer,1
LFT,CHRI,1,Music ,Dance,Cheer,1
RIVF,DTVI,1,CLL,Dance,Lego,1
